threshold_label,tau,flag_n,flag_rate,aivr_class_n,aivr_class,aivr_pairwise_n,aivr_pairwise_total,aivr_pairwise,p1_sham_n,p1_sham_rate,p1_echo_n,p1_echo_rate,p3_user_n,p3_user_rate,p3_tool_n,p3_tool_rate
interval_13_14,-1.0175435393509256,14,0.14583333333333334,8,0.3333333333333333,30,144,0.20833333333333334,6,0.25,8,0.3333333333333333,0,0.0,2,0.08333333333333333
breakpoint_14,-1.0060235114201486,15,0.15625,9,0.375,33,144,0.22916666666666666,6,0.25,9,0.375,0,0.0,3,0.125
interval_14_15,-0.996170847495772,15,0.15625,9,0.375,33,144,0.22916666666666666,6,0.25,9,0.375,0,0.0,3,0.125
breakpoint_15,-0.9863181835713953,16,0.16666666666666666,10,0.4166666666666667,36,144,0.25,6,0.25,10,0.4166666666666667,0,0.0,4,0.16666666666666666
interval_15_16,-0.9707118279294089,16,0.16666666666666666,10,0.4166666666666667,36,144,0.25,6,0.25,10,0.4166666666666667,0,0.0,4,0.16666666666666666
breakpoint_16,-0.9551054722874226,17,0.17708333333333334,11,0.4583333333333333,39,144,0.2708333333333333,6,0.25,11,0.4583333333333333,0,0.0,5,0.20833333333333334
interval_16_17,-0.9493042416542277,17,0.17708333333333334,11,0.4583333333333333,39,144,0.2708333333333333,6,0.25,11,0.4583333333333333,0,0.0,5,0.20833333333333334
breakpoint_17,-0.9435030110210327,18,0.1875,12,0.5,42,144,0.2916666666666667,6,0.25,12,0.5,0,0.0,6,0.25
interval_17_18,-0.9353999981873315,18,0.1875,12,0.5,42,144,0.2916666666666667,6,0.25,12,0.5,0,0.0,6,0.25
breakpoint_18,-0.9272969853536305,19,0.19791666666666666,13,0.5416666666666666,45,144,0.3125,6,0.25,13,0.5416666666666666,0,0.0,7,0.2916666666666667
interval_18_19,-0.9015994981314619,19,0.19791666666666666,13,0.5416666666666666,45,144,0.3125,6,0.25,13,0.5416666666666666,0,0.0,7,0.2916666666666667
breakpoint_19,-0.8759020109092932,20,0.20833333333333334,14,0.5833333333333334,48,144,0.3333333333333333,6,0.25,14,0.5833333333333334,0,0.0,8,0.3333333333333333
interval_19_20,-0.8746749101034346,20,0.20833333333333334,14,0.5833333333333334,48,144,0.3333333333333333,6,0.25,14,0.5833333333333334,0,0.0,8,0.3333333333333333
breakpoint_20,-0.8734478092975759,21,0.21875,15,0.625,51,144,0.3541666666666667,6,0.25,15,0.625,0,0.0,9,0.375
interval_20_21,-0.8692054986328506,21,0.21875,15,0.625,51,144,0.3541666666666667,6,0.25,15,0.625,0,0.0,9,0.375
breakpoint_21,-0.8649631879681251,22,0.22916666666666666,16,0.6666666666666666,54,144,0.375,6,0.25,16,0.6666666666666666,0,0.0,10,0.4166666666666667
interval_21_22,-0.8591320334901826,22,0.22916666666666666,16,0.6666666666666666,54,144,0.375,6,0.25,16,0.6666666666666666,0,0.0,10,0.4166666666666667
breakpoint_22,-0.8533008790122403,23,0.23958333333333334,17,0.7083333333333334,57,144,0.3958333333333333,6,0.25,17,0.7083333333333334,0,0.0,11,0.4583333333333333
interval_22_23,-0.8478582529640917,23,0.23958333333333334,17,0.7083333333333334,57,144,0.3958333333333333,6,0.25,17,0.7083333333333334,0,0.0,11,0.4583333333333333
breakpoint_23,-0.8424156269159432,24,0.25,18,0.75,60,144,0.4166666666666667,6,0.25,18,0.75,0,0.0,12,0.5
interval_23_24,-0.8398148933833406,24,0.25,18,0.75,60,144,0.4166666666666667,6,0.25,18,0.75,0,0.0,12,0.5
breakpoint_24,-0.837214159850738,25,0.2604166666666667,19,0.7916666666666666,63,144,0.4375,6,0.25,19,0.7916666666666666,0,0.0,13,0.5416666666666666
interval_24_25,-0.8364494032241164,25,0.2604166666666667,19,0.7916666666666666,63,144,0.4375,6,0.25,19,0.7916666666666666,0,0.0,13,0.5416666666666666
breakpoint_25,-0.8356846465974949,26,0.2708333333333333,20,0.8333333333333334,66,144,0.4583333333333333,6,0.25,20,0.8333333333333334,0,0.0,14,0.5833333333333334
interval_25_26,-0.8266138867742643,26,0.2708333333333333,20,0.8333333333333334,66,144,0.4583333333333333,6,0.25,20,0.8333333333333334,0,0.0,14,0.5833333333333334
breakpoint_26,-0.8175431269510337,27,0.28125,21,0.875,69,144,0.4791666666666667,6,0.25,21,0.875,0,0.0,15,0.625
interval_26_27,-0.8081708601050386,27,0.28125,21,0.875,69,144,0.4791666666666667,6,0.25,21,0.875,0,0.0,15,0.625
breakpoint_27,-0.7987985932590433,28,0.2916666666666667,22,0.9166666666666666,72,144,0.5,6,0.25,22,0.9166666666666666,0,0.0,16,0.6666666666666666
interval_27_28,-0.7918400736903629,28,0.2916666666666667,22,0.9166666666666666,72,144,0.5,6,0.25,22,0.9166666666666666,0,0.0,16,0.6666666666666666
breakpoint_28,-0.7848815541216825,29,0.3020833333333333,23,0.9583333333333334,75,144,0.5208333333333334,6,0.25,23,0.9583333333333334,0,0.0,17,0.7083333333333334
interval_28_29,-0.7578146516345072,29,0.3020833333333333,23,0.9583333333333334,75,144,0.5208333333333334,6,0.25,23,0.9583333333333334,0,0.0,17,0.7083333333333334
breakpoint_29,-0.7307477491473319,30,0.3125,24,1.0,78,144,0.5416666666666666,6,0.25,24,1.0,0,0.0,18,0.75
interval_29_30,-0.4591128677333842,30,0.3125,24,1.0,78,144,0.5416666666666666,6,0.25,24,1.0,0,0.0,18,0.75
breakpoint_30,-0.1874779863194366,31,0.3229166666666667,24,1.0,77,144,0.5347222222222222,6,0.25,23,0.9583333333333334,1,0.041666666666666664,18,0.75
interval_30_31,-0.1826724019390074,31,0.3229166666666667,24,1.0,77,144,0.5347222222222222,6,0.25,23,0.9583333333333334,1,0.041666666666666664,18,0.75
breakpoint_31,-0.1778668175585782,32,0.3333333333333333,24,1.0,76,144,0.5277777777777778,6,0.25,22,0.9166666666666666,2,0.08333333333333333,18,0.75
